TIC
189127221
193893464
469421586
158374262
237162793
20534584
235612106
522220718
15997013
120893795
16408627
193480277
341014371
237195872
339469193
416361046
237193410
267764363
16310676
186130553
462872746
365120801
10433563
159719806
333446174
27978717
122715830
122301777
137147023
1979640514
297399778
392932308
342795098
11588737
213150627
40485583
335389315
237195379
313893742
158082593
29068089
92428258
322425940
332778908
339458367
350993729
11708996
15247229
390059249
333441069
416747795
354062527
64423013
352553182
120827848
185953037
169464993
365756191
429216438
66585916
403174967
278356213
268490151
68766561
68347147
235612665
189283102
336900245
290222306
29539591
323024502
394176684
188892141
157202091
13876477
91825479
17372709
273803106
43795649
267859063
310832102
187942715
28679106
188062922
11218613
121537103
198681209
12361752
276391310
277096454
272708054
68669994
335392263
278618915
289241010
230446029
335390527
64050903
20819550
42059528
353100191
295893690
158424441
121275246
185994610
170734156
424629249
63819901
121869336
40475561
375327152
295019890
321330636
120257786
185495536
171591531
158082591
336321774
403533149
320960331
172438310
310828006
122673431
317805941
17133914
85045584
295889569
384518807
333154407
193079746
91212494
122132758
64042090
171884646
135412676
16739247
416705085
332694657
336555676
188058423
21150042
136708821
84887323
16621585
275432316
322708594
317575159
336435989
416930588
239264213
121941681
16622862
28397009
322497193
120361047
195800821
235722686
310828411
8598196
13129700
193074256
15478761
137214324
158216795
120824631
68833756
350993264
20774645
272375709
364492329
43662952
194047659
303248599
358141782
28400691
68757401
120634617
111560278
41866352
7992735
273580799
21589152
352586661
137554985
424508231
169461359
158186602
28066425
329662025
28772315
349011395
351934990
277424158
10339309
137848047
185545711
